areaSqm,longitude,latitude,propertyType,rent
16,6.895065,52.220925,Room,290
10,4.828111,52.37311,Room,750
17,6.87194,52.215838,Room,385
8,4.355505,52.015365,Room,350
100,4.522985,51.897469,Apartment,1700
10,4.276163,52.054497,Room,360
75,4.303133,52.074251,Apartment,1350
25,5.489402,51.426573,Room,650
75,4.857367,52.375831,Apartment,950
16,4.797542,51.61068,Room,390
14,5.037091,52.311222,Room,450
20,6.573588,53.23,Room,390
12,5.671989,51.979529,Room,320
16,5.263042,51.697317,Room,375
6,5.82145,51.803865,Room,249
20,6.582033,53.209792,Room,386
30,5.713217,50.864936,Room,455
10,6.54455,53.21737,Room,335
19,4.88631,52.380951,Studio,1000
16,5.175552,52.36707,Room,550
53,6.900406,52.189576,Studio,740
17,6.617725,53.156268,Room,500
17,6.617725,53.156268,Room,500
11,6.896909,52.221111,Room,425
8,6.907835,52.220894,Room,275
6,4.818893,52.376423,Room,485
19,6.895474,52.212366,Room,315
64,4.897057,52.347766,Apartment,1895
14,4.464331,51.892781,Room,565
20,5.833465,51.810583,Room,500
9,6.899509,52.230701,Room,280
44,4.749009,52.649601,Apartment,690
36,6.911239,52.24985,Room,500
60,5.811186,53.200318,Studio,540
50,5.927226,50.921361,Anti-squat,254
8,4.44868,51.911681,Room,430
80,5.917952,51.9847,Apartment,1000
12,4.909541,52.389929,Room,550
12,4.799101,51.589869,Room,375
17,6.553131,53.218434,Room,345
12,4.812776,52.383857,Room,750
16,5.673253,50.851746,Room,430
18,4.382287,52.003056,Room,320
100,6.896147,52.24063,Apartment,1050
35,5.869519,51.005403,Studio,325
84,4.979618,52.293909,Apartment,1840
25,5.343865,51.703447,Room,380
15,6.547478,53.211657,Room,339
17,4.916574,52.35589,Room,950
20,5.803827,53.212396,Room,400
35,5.877185,51.84061,Studio,800
16,6.577934,53.215667,Room,200
20,5.663539,51.969023,Room,250
19,6.90671,52.191183,Room,372
140,4.463635,51.886963,Apartment,1100
55,4.882176,52.38675,Apartment,1250
18,5.081533,51.556663,Room,299
16,5.947328,52.218755,Room,445
16,5.947328,52.218755,Room,445
30,5.953409,52.223927,Room,495
15,4.881669,52.367907,Room,935
14,5.851074,51.825922,Room,260
60,5.09394,52.10612,Apartment,1095
74,5.127046,52.115806,Apartment,995
238,5.494507,51.510641,Apartment,1500
79,5.146778,52.351063,Apartment,1250
50,6.558269,53.22846,Apartment,400
20,4.638996,51.569511,Room,395
17,4.820951,52.357133,Room,700
9,5.640429,52.045653,Room,195
8,4.277245,52.104825,Room,345
16,4.902957,52.353533,Room,800
30,4.282811,52.078724,Room,498
18,4.513346,51.921717,Room,420
43,4.773277,51.588708,Apartment,875
