,areaSqm,latitude,longitude,propertyType,rent,shared
2956,12,51.986621,4.660768,Room,425,1
2957,20,52.010591,4.357097,Room,400,1
2958,11,52.073823,5.093099,Room,510,1
2959,16,52.220338,6.892566,Room,295,1
2960,24,52.056971000000004,4.227535,Room,900,1
2961,25,52.061164,4.30461,Room,480,1
2962,12,52.360776,4.905283,Room,680,1
2963,16,52.348779,4.983537999999999,Room,550,1
2964,24,51.920958,4.50992,Room,560,1
2965,19,50.834587,5.651326,Room,310,1
2966,10,51.920958,4.50992,Room,470,1
2967,19,50.834587,5.651326,Room,310,1
2968,12,52.146174,4.470967,Room,415,1
2969,15,52.009023,4.352811,Room,280,1
2970,12,52.294227,4.8506089999999995,Room,500,1
2971,13,52.001723,4.351303,Room,300,1
2972,14,51.934847999999995,4.462632,Room,400,1
2973,18,52.013584,4.353362000000001,Room,385,1
2974,16,52.372643,4.8604080000000005,Room,645,1
2975,15,51.580751,4.784101000000001,Room,420,1
2976,18,52.265146,6.791297999999999,Room,450,1
2977,22,52.221643,6.894667,Room,260,1
2978,37,52.09648,5.122493,Room,800,1
2979,14,52.001908,4.351728,Room,325,1
2980,10,52.004562,4.367038,Room,390,0
2981,14,52.366963,5.2649099999999995,Room,600,0
2982,20,52.35686,4.814941999999999,Room,795,1
2983,22,52.096776,4.27833,Room,475,1
2984,24,52.376007,4.860995,Room,860,1
2985,125,52.376007,4.860995,Apartment,2600,1
2986,16,52.224202000000005,6.891383,Room,459,1
2987,70,52.081514,4.291107,Apartment,1300,0
2988,9,52.64708,4.76403,Room,325,1
2989,52,51.422013,5.558501000000001,Apartment,529,0
2990,175,51.359146,5.158423,Apartment,1400,0
2991,110,52.213143,5.9612870000000004,Apartment,975,0
2992,61,51.933667,4.588521,Apartment,95,0
2993,11,51.418506,5.495091,Room,325,1
2994,20,52.48495500000001,6.107997,Room,450,1
2995,20,52.48495500000001,6.107997,Room,450,0
2996,20,52.48495500000001,6.107997,Room,450,1
2997,9,52.357848,4.857718,Room,545,1
2998,20,51.978755,4.341632,Room,500,0
2999,124,51.765144,5.529205999999999,Apartment,1950,0
3000,100,51.419435,5.485629,Apartment,1395,0
3001,14,51.966297999999995,5.6715290000000005,Room,300,1
3002,12,51.550753,5.083812,Room,255,0
3003,12,51.918509,4.412691000000001,Room,400,1
3004,16,51.555628000000006,5.087565000000001,Room,550,1
3005,12,51.961396,5.6894279999999995,Room,259,1
3006,20,52.007059999999996,4.7413620000000005,Room,675,1
3007,25,52.471961,4.644488,Room,700,0
3008,18,51.994141,4.353281,Room,350,1
3009,15,51.56445,5.078202,Room,280,1
3010,14,52.246712,6.849384,Room,310,1
3011,12,52.011724,4.358377,Room,370,1
3012,45,52.031181,5.388429,Apartment,500,1
3013,20,53.18973199999999,5.796938,Room,490,1
3014,20,53.231568,6.5225089999999994,Room,365,0
3015,16,51.609522,4.791456,Room,375,1
3016,20,51.888974,4.486713,Room,430,1
3017,12,52.105905,5.101496,Room,442,1
3018,55,53.230656,6.5446279999999994,Studio,970,0
3019,20,52.06308,4.308829,Room,495,1
3020,16,52.080727,5.113638,Room,395,0
3021,13,51.91087,4.4919709999999995,Room,530,0
3022,12,52.003056,4.382287,Room,299,1
3023,50,52.37133,4.909918,Studio,1600,0
3024,10,51.926866,4.482545,Room,450,1
3025,16,53.216349,6.569472,Room,390,1
3026,45,52.088186,5.084693,Studio,620,1
3027,17,51.909418,4.472144,Room,500,1
3028,24,52.221405,6.8952089999999995,Studio,750,0
3029,13,52.342448,4.836523000000001,Room,411,1
3030,7,51.923649,4.499327,Room,375,1
3031,15,53.21994300000001,6.560439,Room,295,1
3032,12,52.012614,4.348066,Room,300,1
3033,16,52.255891,6.1516660000000005,Room,412,1
3034,15,52.101673999999996,5.044097,Room,600,1
3035,32,52.241768,6.847671000000001,Room,366,1
3036,50,50.849676,5.710348000000001,Apartment,750,0
3037,8,52.34073,4.921567,Room,750,1
3038,42,51.984535,5.919274,Apartment,640,0
3039,32,52.160728000000006,5.960682,Studio,650,1
3040,16,53.231074,6.524439,Room,310,0
3041,45,52.088186,5.084693,Studio,620,0
3042,15,52.240363,6.047571,Room,455,1
